Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318051","Agen","Pau","14 - 20","KO: 23 Sep 2017 17:00","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1. Jamie Mackintosh 5416012. Laurent Bouchet 4711003. Sylvain Charlet 474004. Daniel Ramsay 3910005. Fabrice Metz 7614206. Pierrick Gunther 8023007. Sean Dougall 8018208. Baptiste Pesenti 304119. Julien Tomas 4790110. Colin Slade 2381011. Frank Halai 8060112. Jale Vatubua 4743013. Conrad Smith 8070014. Adrien Plante 8071015. Charly Malie 8030116. Quentin Lespiaucq 33161017. Geoffrey Moise 26160018. Masalosalo Tutaia 40131219. Paddy Butler 50130020. Thibault Daubagna 3370021. Brandon Fajardo 5741022. Florian Nicot 3320023. Malik Hamadache 331200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318071","Agen","Lyon","6 - 25","KO: 07 Oct 2017 19:45","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Albertus Buckle 518022. Mickael Ivaldi 5514113. Francisco Gomez Kodela 519304. Felix Lambey 8019405. Hendrik Roodt 709106. Julien Puricelli 8012207. Liam Gill 5815018. Carl Fearns 243009. Baptiste Couilloud 7270010. Frederic Michalak 8063011. Alexis Palisson 8051112. Thibault Regard 8060113. Rudi Wulf 80110214. Timilai Rokoduru 5122015. Jean-Marcellin Buttin 8000016. Virgile Lacombe 2580017. Alexandre Menini 2950018. Etienne Oosthuizen 1051019. Taiasina Tuifua 56112020. Jonathan Pelissie 810021. Hemani Paea 2932022. Virgile Bruni 2271023. Richard Choirat 29501"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318034","La Rochelle","Clermont Auvergne","51 - 20","KO: 09 Sep 2017 13:45","Clermont AuvergneMinutes PlayedTacklesMissed TacklesTurnovers Won1. Raphael Chaume 477302. John Ulugia 467003. Rabah Slimani 4610204. Paul Jedrasiak 8014335. Sitaleki Timani 688106. Alexandre Lapandry 8015317. Judicael Cancoriet 467208. Fritz Lee 8014309. Greig Laidlaw 5951010. Camille Lopez 5370011. Remy Grosso 7041112. Damian Penaud 6152213. Aurelien Rougerie 80132114. David Strettle 8051015. Scott Spedding 8011016. Benjamin Kayser 3451017. Etienne Falgoux 2331018. Maxence Barjaud 1220019. Otar Giorgadze 3441020. Charlie Cassang 2100021. Patricio Fernandez 2710022. Peter Betham 1910023. Davit Zirakashvili 34400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318087","Toulon","Brive","41 - 24","KO: 28 Oct 2017 13:45","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Karlen Asieshvili505212. Mike Tadjer505103. Damien Jourdain507204. Jan Uys8019005. Sisa Koyamaibole557106. Said Hireche7017107. Fabien Sanconnie709208. Petrus Hauman5511309. Florian Cazenave5284010. Matthieu Ugalde5993011. Benito Masilevu8065012. Poutasi Luafutu8095013. Arnaud Mignardi8094014. Benjamin Lapeyre8083115. Gaetan Germain6101016. Thomas Acquier3021117. Julien Brugnaut2941018. James Johnston1640019. Julien Ledevedec2540020. Samuel Marques2810021. Thomas Laranjeira2131022. Felix Le Bourhis920023. Sila Puafisi30310"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318093","Lyon","La Rochelle","15 - 19","KO: 04 Nov 2017 17:30","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mike Corbel7113202. Jeremie Maurouard7113013. Uini Atonio301104. Romain Sazy8016205. Jone Qovu Nailiko8017206. Zeno Kieft618007. Victor Vito808318. Afaesetiti Amosa7120119. Jean Victor Goillot3730010. Brock James8055011. Jeremy Sinzelle8011012. Pierre Boudehent7472113. Paul Jordaan80112214. Vincent Rattez8051015. Kini Murimurivalu8030116. Jean Charles Orioli940017. Vincent Pelo901018. Jason Eaton1940019. Levani Botia920020. Alexis Bales4340021. Elliot Roudil630022. Steeve Barry000023. Mohamed Boughanmi501220"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318042","Clermont Auvergne","Brive","62 - 6","KO: 16 Sep 2017 19:45","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Karlen Asieshvili 505102. Francois Da Ros 504213. James Johnston 401004. Julien Ledevedec 697305. Sisa Koyamaibole 704016. Said Hireche 8013037. Dominiko Waqaniburotu 809008. Petrus Hauman 223009. Vasil Lobzhanidze 64100010. Nicolas Bezy 6476011. Nadir Megdoud 8090212. Thomas Laranjeira 67113013. Arnaud Mignardi 7097014. Benito Masilevu 6022015. Benjamin Lapeyre 8034116. Mike Tadjer 3022017. Naama Leleimalefaga 3050018. Johan Snyman 1121019. Poutasi Luafutu 5862020. Florian Cazenave 1601021. Matthieu Ugalde 3101022. Felix Le Bourhis 2031123. Damien Jourdain 40420"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318055","Lyon","Castres","31 - 12","KO: 24 Sep 2017 11:30","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mihaita Lazar 403002. Kevin Firmin 409003. Damien Tussac 402004. Thibault Lassalle 807005. Rodrigo Capo Ortega 202006. Alexandre Bias 809207. Anthony Jelonch 8011108. Maama Vaipulu 578219. Rory Kockott 6333010. Yohan Le Bourhis 4051011. David Smith 8021012. Florian Vialelle 5781013. Robert Ebersohn 8030014. Kylian Jaminet 8041115. Julien Dumora 8030016. Jody Jenneker 4010017. Tudor Stroe 4011018. Victor Moreaux 6063019. Alex Tulou 2300020. Benjamin Urdapilleta 3901021. Ludovic Radosavljevic 1720022. Thomas Combezou 2300023. Daniel Kotze 40210"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318013","Montpellier","Agen","48 - 19","KO: 26 Aug 2017 17:00","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1. Quentin Bethune 343002. Facundo Bosch 343003. Dave Ryan 423004. Tom Murday 468005. Denis Marchois 809006. Antoine Miquel 806007. Vincent Farre 809008. Akapusi Qera 401009. Ricky Januarie 5341110. Jake McIntyre 6710011. George Tilsley 8020012. Julien Heriteau 8052013. Johann Sadie 8031014. Vilikisa Salawa 8035015. Mathieu Lamoulie 3231116. Loick Jammes 4671017. Morgan Phelipponneau 4631018. Leandro Cedaro 2410019. Antoine Erbani 4000020. Hugo Verdu 2710021. Jeremy Russell 1310022. Tamaz Mchedlidze 4821023. Vakhtangi Akhobadze 38100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318065","Racing 92","Lyon","17 - 20","KO: 30 Sep 2017 19:45","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Stephane Clement 431102. Virgile Lacombe 552103. Richard Choirat 433214. Felix Lambey 596005. Francois van der Merwe 508106. Julien Puricelli 808107. Dylan Cretin 715018. Taiasina Tuifua 769209. Baptiste Couilloud 7071010. Frederic Michalak 6880011. Alexis Palisson 8031012. Hemani Paea 5750013. Thibault Regard 8063014. Toby Arnold 8010015. Delon Armitage 8021016. Deon Fourie 2161017. Alexandre Menini 3740018. Hendrik Roodt 3031019. Etienne Oosthuizen 2130120. Piero Dominguez 2230021. Virgile Bruni 920022. Jean-Marcellin Buttin 2310023. Francisco Gomez Kodela 37400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318024","Montpellier","Oyonnax","37 - 6","KO: 02 Sep 2017 17:45","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Khatchik Vartanov5510102. Benjamin Geledan473103. Irakli Mirtskhulava402004. Phoenix Battye8011005. Christian Njewel586016. Patrick Sobela8012227. Luc Barba497008. Curtis Browning6511109. James Hall8080010. Christopher Ruiz6763011. Dug Codjo8010012. Ulupano Seuteni8092013. Mitch Inman80101014. Axel Muler8051015. Silvere Tian5820016. Quentin MacDonald3340017. Kevin Buys2532018. Geoffrey Fabbri2220019. Vili Ma'afu3100020. Jeremy Gondrand1310021. Roimata Hansell-Pune2200022. Bilel Taieb1550023. Pietro Ceccarelli40710"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318037","Toulon","Toulouse","20 - 16","KO: 10 Sep 2017 15:50","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1. Lucas Pointud 766002. David Roumieu 558103. Dorian Aldegheri 443004. Piula Faasalele 8014115. Yoann Maestri 809106. François Cros 808007. Semi Kunatani 484108. Gillian Galan 6411119. Antoine Dupont 8040110. Jean-Marc Doussain 78122111. Wandie Mjekevu 7331012. Florian Fritz 3333013. Yann David 8060014. Yoann Huget 6411015. Cheslin Kolbe 8022016. Leonardo Ghiraldini 2501017. Danie Mienie 400018. Joe Tekori 1600019. Talalelei Gray 3210020. Zack Holmes 200021. Paul Perez 1602022. Jarrod Poi 4711023. Maks van Dyk 36810"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318056","Stade Francais","Toulon","15 - 19","KO: 24 Sep 2017 15:50","ToulonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Florian Fresia697002. Guilhem Guirado536003. Marcel Van der Merwe536004. Swan Rebbadj807015. Romain Taofifenua657206. Juan Martin Fernandez Lobbe679207. Facundo Isa807008. Samu Manoa808109. Sebastien Tillous-Borde6942010. Anthony Belleau72111111. Chris Ashton4601012. Luke McAlister8061013. Mathieu Bastareaud80102114. Josua Tuisova7050215. Hugo Bonneval8041016. Anthony Etrillard2750017. Laurent DelBoulbes1121018. Jocelino Suta1530019. Rudy Gahetau1310020. Louis Carbonel800021. JP Pietersen3420022. Eric Escande1110023. Emerick Setiano27310"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318073","Brive","Castres","27 - 22","KO: 07 Oct 2017 17:45","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Antoine Tichit566402. Jody Jenneker533103. Daniel Kotze674114. Loic Jacquet808005. Victor Moreaux303006. Alexandre Bias401107. Anthony Jelonch5310418. Maama Vaipulu807009. Ludovic Radosavljevic6771010. Benjamin Urdapilleta8012011. David Smith8022012. Florian Vialelle5652013. Robert Ebersohn8071014. Julien Caminati8042015. Julien Dumora8002016. Kevin Firmin2720017. Tudor Stroe2440018. Christophe Samson4010019. Steve Mafi4010020. Yohan Domenech1311021. Thomas Combezou2400022. Alex Tulou2710023. Damien Tussac13000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318076","Stade Francais","Montpellier","31 - 20","KO: 07 Oct 2017 13:45","MontpellierMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mikheil Nariashvili 714002. Bismarck Du Plessis 762103. Antoine Guillamon 532004. Jacques Du Plessis 663005. Nicolaas Janse van Rensburg 805106. Fulgence Ouedraogo 8011007. Julien Bardy 314108. Kelian Galletier 806109. Ruan Pienaar 5930010. Francois Steyn 8021011. Nemani Nadolo 7502012. Alexandre Dumoulin 8071013. Henry Immelman 5830114. Joffrey Michel 8020115. Benjamin Fall 6620116. Charles Geli 410017. Yvan Watremez 920018. Julien Delannoy 1410019. Martin Devergie 4931020. Benoit Paillaugue 2110021. Arthur Vincent 1410022. Thomas Darmon 2210023. Mohammed Haouas 22000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318014","Oyonnax","Toulouse","23 - 23","KO: 26 Aug 2017 14:10","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Tommy Raynaud171002. Hikawera Elliot612103. Hoani Tui803104. Steven Sykes401205. Christian Njewel653106. Patrick Sobela8010007. Valentin Ursache455008. Rory Grice804009. Jeremy Gondrand5020010. Ben Botica8040011. Dug Codjo8020112. Matt Hopper8093013. Mitch Inman8020014. Daniel Ikpefan8030015. Quentin Etienne Lecoq8000016. Benjamin Geledan1950017. Khatchik Vartanov6390018. Phoenix Battye4040019. Maurie Fa'asavalu1530020. James Hall3020021. Ulupano Seuteni000022. Curtis Browning3530323. Irakli Mirtskhulava0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318041","Agen","La Rochelle","15 - 20","KO: 16 Sep 2017 17:00","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mike Corbel 534002. Jeremie Maurouard 627013. Uini Atonio 452004. Romain Sazy 809005. Jone Qovu Nailiko 809206. Zeno Kieft 538207. Afaesetiti Amosa 6713008. Victor Vito 8012019. Alexis Bales 80146010. Brock James 6730011. Steeve Barry 8041012. Pierre Aguillon 8061113. Paul Jordaan 8040014. Gabriel Lacroix 6731015. Kini Murimurivalu 8031016. Pierre Bourgarit 1840017. Vincent Pelo 2721018. Gregory Lamboley 1311119. Kevin Gourdon 2730020. Jean Victor Goillot 1300021. Pierre Boudehent 010022. Vincent Rattez 1301023. Mohamed Boughanmi 35400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318032","Brive","Racing 92","6 - 25","KO: 09 Sep 2017 17:00","Racing 92Minutes PlayedTacklesMissed TacklesTurnovers Won1. Viliamu Afatia 537102. Camille Chat 5313103. Luc Ducalcon 538104. Leone Nakarawa 694005. Edwin Maka 6012106. Wenceslas Lauret 8016017. Bernard Le Roux 8012208. Yannick Nyanga 806209. Teddy Iribaren 6290110. Remi Tales 8052011. Virimi Vakatawa 8030012. Albert Vulivuli 7211013. Henry Chavancy 8060114. Louis Dupichot 80100115. Brice Dulin 7250016. Dimitri Szarzewski 2750017. Vasil Kakovin 2740118. Manuel Carizza 1130219. Boris Palu 2040020. Maxime Machenaud 1800021. So'otala Fa'aso'o 000022. Joe Rokocoko 000023. Ben Tameifuna 27301"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318096","Racing 92","Pau","23 - 20","KO: 04 Nov 2017 17:30","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1. Thomas Domingo445102. Quentin Lespiaucq608003. Lourens Adriaanse4411004. Dave Foley446005. Julien Pierre8011126. Paddy Butler6411017. Sean Dougall4612118. Steffon Armitage809129. Thibault Daubagna75110010. Colin Slade8080111. Julien Fumat8050012. Jale Vatubua6371113. Conrad Smith7181114. Frank Halai8050015. Charly Malie7520016. Lucas Rey2040017. Jamie Mackintosh3640018. Peter Saili1620019. Fabrice Metz3680020. Ben Mowen3440021. Julien Tomas500022. Tom Taylor1710023. Malik Hamadache36200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318043","Lyon","Bordeaux Begles","49 - 14","KO: 16 Sep 2017 17:00","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Jefferson Poirot 493002. Clement Maynadier 554113. Jean-Baptiste Poux 493204. Luke Jones 653105. Cyril Cazeaux 807206. Loann Goujon 808207. Hugh Chalmers 556108. Marco Tauleigne 805209. Baptiste Serin 2832010. Tiaan Schoeman 6114011. Metuisela Talebula 8022012. Julien Rey 8042013. Apisai Naqalevu 4922114. Fa'asiu Fuatai 8072015. Nans Ducuing 8050016. Adrien Pelissie 2551117. Peni Ravai 3120018. Pierre Gayraud 1500019. Alexandre Roumat 2520120. Yann Lesgourgues 5233021. Matthieu Jalibert 1911022. Jayden Spence 3111023. Marc Clerc 31500"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318025","Stade Francais","La Rochelle","35 - 24","KO: 02 Sep 2017 15:45","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Dany Priso 386102. Hikairo Forbes 479103. Luc Mousset 322004. Mathieu Tanguy 133005. William Demotte 671006. Romain Sazy 809007. Afaesetiti Amosa 806108. Victor Vito 806009. Alexis Bales 8000010. Brock James 4022011. Elliot Roudil 7250012. Pierre Aguillon 8061013. Geoffrey Doumayrou 2330014. Gabriel Lacroix 4010015. Jeremy Sinzelle 8010016. Jeremie Maurouard 3330017. Mike Corbel 4060018. Jason Eaton 6760119. Kevin Gourdon 4010020. Jean Victor Goillot 1320021. Ryan Lamb 4021022. Steeve Barry 5700023. Uini Atonio 48220"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318084","Lyon","Oyonnax","52 - 18","KO: 28 Oct 2017 17:00","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Tommy Raynaud 385002. Quentin MacDonald 606013. Hoani Tui 654004. Phoenix Battye 605005. Valentin Ursache 484006. Curtis Browning 8011117. Rory Grice 808008. Vili Ma'afu 806209. Jeremy Gondrand 8041010. Ben Botica 4013011. Dug Codjo 8091012. Matt Hopper 8081013. Mitch Inman 6865014. Daniel Ikpefan 8071015. Quentin Etienne Lecoq 6210016. Benjamin Geledan 2010017. Khatchik Vartanov 4210018. Steven Sykes 2030019. Shay Kerry 2210020. James Hall 4010021. Ulupano Seuteni 1210022. Silvere Tian 800023. Pietro Ceccarelli 15100"
